# 형식어\t분석 결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
1	1/SN
108	108/SN
2	2/SN
3	3/SN
4	4/SN
6	6/SN
9	9/SN
APT	APT/NNG
LG	LG/SL
가	가/NNG
가락	가락/NNP
가양	가양/NNP
가좌	가좌/NNP
갈월	갈월/NNP
강남	강남/NNP
강동	강동/NNP
개발	개발/NNG
거리	거리/NNG
건영	건영/NNP
경향	경향/NNP
고등학교	고등학교/NNG
고속도로	고속도로/NNG
공진	공진/NNP
관악산	관악산/NNP
교회	교회/NNG
구일	구일/NNP
구청	구청/NNG
굿모닝	굿모닝/NNP
까치산	까치산/NNP
녹천	녹천/NNP
다리	다리/NNG
단지	단지/NNG
닭죽촌	닭죽촌/NNP
답십리	답십리/NNP
도곡	도곡/NNP
도시	도시/NNG
동	동/NNG
두림	두림/NNP
둔촌	둔촌/NNP
렉스빌	렉스빌/NNP
롯데	롯데/NNP
롯데마트	롯데마트/NNP
루나	루나/NNP
마을	마을/NNG
마천	마천/NNP
마트	마트/NNG
모래내	모래내/NNP
무역	무역/NNG
미천	미천/NNP
민속	민속/NNP
박물관	박물관/NNG
방화	방화/NNP
백석	백석/NNP
뱅뱅	뱅뱅/NNP
버들	버들/NNP
벽산	벽산/NNP
병원	병원/NNG
보라매	보라매/NNP
비산	비산/NNP
빌딩	빌딩/NNG
사	사/SN
사거리	사거리/NNG
산복	산복/NNP
삼성	삼성/NNP
상가	상가/NNG
상도	상도/NNP
서북	서북/NNP
서울	서울/NNP
세무서	세무서/NNG
세현	세현/NNP
센타	센타/NNG
소하	소하/NNP
숙대	숙대/NNP
시립	시립/NNG
시영	시영/NNP
시외버스	시외버스/NNG
시장	시장/NNG
식당	식당/NNG
식품	식품/NNG
신목동	신목동/NNP
아파트	아파트/NNG
안전청	안전청/NNG
앞	앞/NNG
에코	에코/NNP
역	역/NNG
연립	연립/NNG
영동	영동/NNP
영프라자	영프라자/NNP
우성	우성/NNP
우체국	우체국/NNG
우촌	우촌/NNP
월계	월계/NNP
유통	유통/NNG
윤진	윤진/NNP
율곡	율곡/NNP
의약품	의약품/NNG
이마트	이마트/NNG
이촌	이촌/NNP
이화	이화/NNP
일고	일고/NNG
일신	일신/NNP
입구	입구/NNG
자이	자이/NNG
장지	장지/NNP
전철	전철/NNG
전철역	전철역/NNG
정문	정문/NNG
제	제/XPN
제일	제일/NNP
종합	종합/NNG
주공	주공/NNP
주유소	주유소/NNG
중부	중부/NNP
중앙	중앙/NNG
중학교	중학교/NNG
지방	지방/NNG
지하	지하/NNG
차도	차도/NNG
청계	청계/NNP
청솔	청솔/NNP
초등학교	초등학교/NNG
초원	초원/NNP
추동	추동/NNP
충신	충신/NNP
캐슬	캐슬/NNP
타운	타운/NNG
태평	태평/NNP
터널	터널/NNG
터미널	터미널/NNG
트리지움	트리지움/NNP
파출소	파출소/NNG
푸르지오	푸르지오/NNP
프라자	프라자/NNG
하이츠	하이츠/NNP
한국	한국/NNP
해운	해운/NNP
허준	허준/NNP
호선	호선/NNG
호압사	호압사/NNP
화곡	화곡/NNP
화정	화정/NNP
후문	후문/NNG
휴먼빌	휴먼빌/NNP
휴먼시아	휴먼시아/NNP
