# 정규표현\t분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
일화	일/NR+화/NNB
일편	일/NR+편/NNB
무한도전	무한도전/NNP
(([일이삼사오육칠팔구0123456789][일십백천만억]?)+)	\1/SN
# (.+)(초등|국민|중|고등|대)학교	\1/NNP+\2학교/NNG
해봐	하/VV+아/EC+보/VV+아/EF
해줘	하/VV+아/EC+주/VX+어/EF
강원대학교([.!?]*)자연어처리연구실([.!?]*)	강원대학교/NNP+\1/SF+자연어처리연구실/NNG+\2/SF
3/4\+2	^/SN+//SP+4/SN++/SW+2/SN
#
#2014.07.07 추가한 사용자기분석 사전
#
로봇주먹과	로봇/NNG+주먹/NNG+과/JC
만만찮	만만찮/VA
나타냅니다	나타내/VV+ㅂ니다/EF
심심찮	심심찮/VA
싶습니다않으므로	싶/VX+습니다/EC+않/VX+으므로/EC
때문에란	때문/NNB+에/NNG+란/JX
것으로써란	것/NNB+으로써/JKB+란/JX
보답하겠단다	보답/NNG+하/XSV+이/VCP+겠/EP+단다/EC
본용언과	본/NNG+용언/NNG+과/JC
않죠	않/VV+죠/EC
레짐이라고	레짐/NA+이/VCP+라고/EC
헷갈립니다	헷갈리/VV+ㅂ니다/EC
드십니까	들/VV+시/EP+ㅂ니까/EC
윤슬의	윤슬/NF+의/JKG
윤슬은	윤슬/NF+은/JX
어울립니다	어울리/VV+ㅂ니다/EC
디딤을	디디/VV+ㅁ/ETN+을/JKO
디딤과	디디/VV+ㅁ/ETN+과/JKB
큰아빠라고	크/VA+ㄴ/ETM+아빠/NNG+이/VCP+라고/EC
헷갈려서	헷갈리/VV+어서/EC
로봇로케트	로봇/NNG+로케트/NNG
드묾을	드물/VA+ㅁ/ETN+을/JKO
아닌가요?	아니/VCN+ㄴ가요/EF+?/SF
아닌가요	아니/VCN+ㄴ가요/EF
어간연결어미어간어미	어간/NNG+연결/NNG+어미/NNG+어간/NNG+어미/NNG
어간연결어미어간어미로	어간/NNG+연결/NNG+어미/NNG+어간/NNG+어미/NNG+로/JKB
본용언보조	본/NNG+용언/NNG+보조/NNG
부자연스런으로도	부자연스/NF+러/EF+ㄴ/ETM+으로/JKB+도/JX
부자연스럽	부/NNG+자연/NNG+스럽/XSA
헷갈려서요	헷갈리/VV+어서/EC+요/EC
파생어가	파생어/NNG+가/JKS
자연스럽습니다	자연/NNG+스럽/XSA+습니다/EC
헷갈립니다	헷갈리/VV+ㅂ니다/EC
윗논	윗/MM+논/NNG
맞죠	맞/VV+죠/EC
혼란스럽습니다	혼란/NNG+스럽/XSA+습니다/EC
읽힌	읽히/VV+ㄴ/ETM
부사파생접미사	부사/NNG+파생/NNG+접미사/NNG
아닌가	아니/VCN+ㄴ가/EC
오랄까요	오/VV+랄까/EC+요/JX
원주배움터라고	원주/NNG+배움터/NNG+이/VCP+라고/EC
나아감어떻게	나아가/VV+ㅁ/ETN+어떻/VA+게/EC
여닫이를	여닫이/NNG+를/JKO
헷갈렸습니다	헷갈리/VV+었/EP+습니다/EC
명사파생접미사	명사/NNG+파생/NNG+접미사/NNG
아닌가	아니/VCN+가/EC
나타냅니다	나타내/VV+ㅂ니다/EC
풀겄다	풀/VV+겄/EP+다/EC
헷갈려	헷갈리/VV+어/EC
오토캠핑책을	오토/NNG+캠핑/NNG+책/NNG+을/JKO
오토캠핑도	오토/NNG+캠핑/NNG+도/JX
오토캠핑장이	오토/NNG+캠핑장/NNG+이/JKS
튜터링과	튜터링/NF+과/JC
외래어표기용례집	외래어/NNG+표기/NNG+용례집/NNG
파프리카는	파프리카/NNG+는/JX
파프리카의	파프리카/NNG+의/JKG
붙입니다	붙이/VV+ㅂ니다/EC
둘러쌓여를	두/VV+ㄹ러/EC+쌓이/VV+어/EC+를/JKO
둘러쌓이다는	두/VV+ㄹ러/EC+쌓이/VV+다는/ETM
둘러쌓이다일	두/VV+ㄹ러/EC+쌓이/VV+다/EC+일/NNB
쓸린	쓸리/VV+ㄴ/ETM
삐뚤삐뚤한	삐뚤/NF+삐/MAG+뚜/MAG+ㄹ/JKO+하/VV+ㄴ/ETM
뒤척하면서가	뒤/NNG+척/NNB+하/XSA+면서/EC+가/JKS
떠나보냄을	떠나보내/VV+ㅁ/ETN+을/JKO
